Raster,Red,Green,Blue,NIR,FC,ch1,CH,wc,WC,geom,GEOM,NDVI,EVI,SAVI,AVI,BAI,BCC,BITM,BIXS,BNDVI,CIG,CVI,DSWI4,DVI,EVI2,ExG,ExGR,ExR,FCVI,GARI,GBNDVI,GCC,GEMI,GLI,GNDVI,GOSAVI,GRNDVI,GRVI,IKAW,IPVI,MCARI1,MCARI2,MGRVI,MRBVI,MSAVI,MSR,MTVI1,MTVI2,NDDI,NDGlaI,NDSII,NDTI,NDYI,NIRv,NLI,NormG,NormNIR,NormR,OSAVI,PISI,RCC,RDVI,RGBVI,RGRI,RI4XS,SI,SR,TDVI,TGI,TVI,TriVI,VARI,VrNIRBI,LAI,AFC,time_s
RIP_180619_1120_0001,0.048527878,0.07070432,0.012302434,0.4924144,0.543402778,1.196073456,1.5,1.635560083,1.304166667,2.339818699,2.934375001,0.820580199,0.656126946,0.639641407,0.592469853,5.27338291,0.093529999,0.050018016,0.060638502,0.951250154,5.96441745,4.780024762,1.456983551,0.443886522,0.689744048,0.080578328,0.088196407,-0.007618079,0.448569523,0.841788016,0.711492171,0.537533872,0.918054173,0.398431297,0.748883077,0.583182358,0.61012716,6.96441745,0.595516327,0.910290099,0.673791841,0.668673627,0.359549341,0.879224681,0.680784335,2.739686345,0.673791841,0.668673627,21.89018537,0.185993736,-0.748883077,-0.185993736,0.703579928,0.404065506,0.666474858,0.115596686,0.80506358,0.079339733,0.633271149,-0.197321504,0.368936129,0.603526711,0.786633638,0.686349547,94.23208556,0.955853475,10.14704167,0.748643443,4.28028863,1.149165001,27.520249,0.207392602,-0.820580199,3.09,0.58,121826340.0
RIP_180619_1120_0002,0.04940047,0.07294828,0.012466814,0.50739914,0.607638889,1.234825401,1.5,1.771505509,1.458333334,2.701180565,3.281250001,0.822555659,0.669470913,0.650074052,0.604510497,4.932759024,0.092473106,0.051372105,0.062297103,0.952038352,5.955601146,4.710323064,1.476671781,0.45799867,0.704197204,0.084029276,0.092756945,-0.008727669,0.462460619,0.843297118,0.711831838,0.541096872,0.929828682,0.404446098,0.748604793,0.586820253,0.611435776,6.955601146,0.596982017,0.911277829,0.696252668,0.682453088,0.371179829,0.880252884,0.692985897,2.7615265,0.696252668,0.682453088,21.24600473,0.192464655,-0.748604793,-0.192464655,0.708088737,0.417364034,0.678020085,0.115837276,0.805717888,0.078444836,0.638949385,-0.205780593,0.366430021,0.613782859,0.792543883,0.677198558,86.17909639,0.954738464,10.27113993,0.76481765,4.45306131,1.150024199,28.4218326,0.214301011,-0.822555659,3.37,0.68,121826340.0
RIP_180619_1120_0003,0.048806805,0.07276419,0.012622521,0.51144797,0.581597222,1.22268486,1.5,1.712419993,1.395833333,2.559996425,3.140624999,0.825769249,0.676526354,0.654523577,0.6082818,4.844350701,0.094062078,0.051107924,0.061954546,0.951828919,6.02884166,4.714617235,1.490861571,0.462641165,0.710189157,0.084099054,0.093414398,-0.009315344,0.466716798,0.84760279,0.713868132,0.542233278,0.933996498,0.40635865,0.750898064,0.589460645,0.615900939,7.02884166,0.589039248,0.912884625,0.703576798,0.689270805,0.379396246,0.874615555,0.698806536,2.797765434,0.703576798,0.689270805,21.05839929,0.197064974,-0.750898064,-0.197064974,0.704344602,0.422338006,0.685508808,0.114947883,0.80795047,0.077101647,0.642329883,-0.207975042,0.363704644,0.618089676,0.791542211,0.670753086,84.97476273,0.954950182,10.47902992,0.770885031,4.447008615,1.151420535,28.7167653,0.219896471,-0.825769249,3.45,0.64,121826340.0
RIP_180619_1120_0004,0.050139643,0.07344962,0.012921503,0.5252657,0.657986111,1.276351624,1.5,1.855875728,1.579166666,3.023357909,3.553124999,0.825724097,0.686919062,0.662716705,0.618893447,4.567081195,0.09465556,0.051883831,0.062884141,0.951981381,6.151373962,4.881813377,1.464901136,0.475126057,0.721812429,0.083838094,0.092106178,-0.008268084,0.479762111,0.84778922,0.717573829,0.538050017,0.943537172,0.399304343,0.75464259,0.595501459,0.619054272,7.151373962,0.590191304,0.912862048,0.720545086,0.696409801,0.364259025,0.875443183,0.707590329,2.797250016,0.720545086,0.696409801,22.23316264,0.188608431,-0.75464259,-0.188608431,0.700791131,0.433724546,0.692436056,0.113198826,0.809527136,0.077274038,0.646073708,-0.215654584,0.367294423,0.626356954,0.785567135,0.682639924,86.37822229,0.954172357,10.47605584,0.784149006,4.447536215,1.151400928,29.4399625,0.210630241,-0.825724097,3.66,0.62,121826340.0
RIP_180619_1120_0005,0.049723007,0.073308334,0.012490479,0.5287976,0.598958333,1.324444275,1.5,1.628041315,1.437499999,2.855832966,3.234374998,0.828102901,0.690923656,0.666294074,0.622081964,4.498446479,0.092165815,0.05164785,0.062635809,0.953849052,6.21333539,4.892605063,1.474334286,0.479074593,0.72669294,0.084403182,0.093071607,-0.008668425,0.48362366,0.848869977,0.720796246,0.540933807,0.946884741,0.40417143,0.756493567,0.597671853,0.622504209,7.21333539,0.598463941,0.914051451,0.726660524,0.701656622,0.369813086,0.881286951,0.712134821,2.824652523,0.726660524,0.701656622,22.12835099,0.191701779,-0.756493567,-0.191701779,0.708842615,0.437898827,0.698053616,0.112465602,0.811252104,0.076282294,0.648694956,-0.218033223,0.366900378,0.629859556,0.79281203,0.678272228,85.60544121,0.954499242,10.63486768,0.789088107,4.474557745,1.152433469,29.68788866,0.213362973,-0.828102901,3.58,0.67,121826340.0
RIP_180619_1120_0006,0.045572788,0.07144166,0.012492308,0.5310268,0.597222222,1.352715836,1.5,1.589395157,1.433333333,2.908339046,3.224999999,0.8419257,0.709408141,0.676371258,0.626617398,4.447833343,0.096460666,0.049453168,0.059919904,0.954031761,6.433013175,4.741535032,1.567638565,0.485454012,0.739840238,0.084818224,0.09701526,-0.012197036,0.487857881,0.865708186,0.727026593,0.551644271,0.953988764,0.422089538,0.762836846,0.602759542,0.638867284,7.433013175,0.569713688,0.92096285,0.739409218,0.723207237,0.4215458,0.860221963,0.727533409,2.994733162,0.739409218,0.723207237,20.29062835,0.22107417,-0.762836846,-0.22107417,0.702330098,0.447085111,0.721745788,0.110242458,0.819433642,0.0703239,0.659047357,-0.219310171,0.351895063,0.639309165,0.799299412,0.637902143,79.72693118,0.956527584,11.65227811,0.800458863,4.44237164,1.158415168,30.1619956,0.247496578,-0.8419257,3.25,0.64,121826340.0
RIP_180619_1120_0007,0.04581283,0.07173911,0.012403192,0.5213752,0.631944444,1.220389061,1.5,1.864159612,1.516666666,2.776385112,3.412499998,0.838456288,0.69803089,0.668432867,0.618486857,4.633848909,0.09544211,0.049662711,0.060188518,0.953526811,6.267656373,4.641149102,1.565917452,0.47556237,0.728797267,0.085262198,0.097444629,-0.012182431,0.478056823,0.86167091,0.722081354,0.552029834,0.946012458,0.422729956,0.758093478,0.597035648,0.632033349,7.267656373,0.573890775,0.919228144,0.72525481,0.713419009,0.420642082,0.863415213,0.717924118,2.950192768,0.72525481,0.713419009,19.86677382,0.220551698,-0.758093478,-0.220551698,0.705185342,0.437150315,0.711546914,0.11228058,0.816016674,0.071702745,0.65397442,-0.213847982,0.352528056,0.631457251,0.801136431,0.638603267,79.24106479,0.956374015,11.38054995,0.788889849,4.46757488,1.156916716,29.5707934,0.246567653,-0.838456288,3.84,0.6,121826340.0
RIP_180619_1120_0008,0.047709286,0.07427971,0.013097775,0.54190415,0.59375,1.432797546,1.5,1.491836726,1.425,3.062604755,3.20625,0.838167575,0.714184748,0.68032595,0.634156943,4.255936195,0.096958236,0.051527349,0.06242456,0.952800975,6.295453227,4.685813454,1.556923531,0.494194864,0.745884061,0.087752359,0.100009997,-0.012257638,0.496875226,0.862170317,0.722294502,0.549866648,0.959618695,0.419132798,0.758904071,0.60246607,0.632504126,7.295453227,0.569202169,0.919083788,0.753090466,0.725639513,0.415889707,0.859827781,0.730175855,2.946545035,0.753090466,0.725639513,20.14889029,0.217810006,-0.758904071,-0.217810006,0.700202518,0.454206487,0.720482932,0.111885038,0.816252063,0.071862899,0.659266283,-0.225052333,0.353175116,0.643597787,0.796532469,0.642292303,74.76959637,0.954643354,11.35846279,0.808157731,4.60088094,1.156791933,30.7145088,0.244008872,-0.838167575,3.44,0.6,121826340.0
RIP_180619_1120_0009,0.04808364,0.0715715,0.013687465,0.53491145,0.619791667,1.139527893,1.5,1.958047727,1.487500001,2.542571613,3.346875002,0.835046158,0.707287148,0.674279802,0.628181807,4.381426028,0.10264885,0.050404572,0.06096932,0.950100284,6.473805216,5.021101408,1.488479242,0.48682781,0.73747836,0.081371895,0.090434663,-0.009062768,0.490463915,0.861789517,0.725046655,0.536748926,0.953785295,0.397102459,0.763978526,0.604501313,0.634398878,7.473805216,0.556832762,0.917523079,0.737673108,0.713301444,0.378026378,0.850085651,0.722844006,2.907664287,0.737673108,0.713301444,22.50004163,0.196296289,-0.763978526,-0.196296289,0.678920217,0.446675751,0.712258287,0.109341817,0.817199439,0.073458745,0.655223455,-0.220558945,0.360602225,0.637592105,0.772293344,0.671826635,88.11182504,0.955257822,11.12460392,0.799517414,4.2951172,1.155441975,30.149183,0.221651178,-0.835046158,3.46,0.6,121826340.0
RIP_180619_1120_0010,0.048590768,0.07419142,0.013206714,0.5471192,0.609375,1.432481766,1.5,1.531433106,1.4625,3.142506874,3.290625,0.836864345,0.716435641,0.682473163,0.637841956,4.167916622,0.097116116,0.051768223,0.062711361,0.952860599,6.374426854,4.829791159,1.526862469,0.498528432,0.749109413,0.086585358,0.09760878,-0.011023422,0.501789566,0.860778162,0.724520894,0.545569667,0.962402043,0.41195749,0.761177686,0.605300591,0.633432054,7.374426854,0.572580838,0.918432172,0.757817959,0.725398119,0.399635398,0.862418719,0.731838761,2.930188886,0.757817959,0.725398119,21.11391965,0.208504608,-0.761177686,-0.208504608,0.697780413,0.457864551,0.720686679,0.110749763,0.816716027,0.07253421,0.659682223,-0.227953921,0.357314217,0.645910729,0.791176422,0.654937835,77.9278677,0.954343931,11.25973559,0.812084353,4.55510518,1.1562285,30.935732,0.233634873,-0.836864345,3.7,0.69,121826340.0
