Raster,Red,Green,Blue,NIR,FC,ch1,CH,wc,WC,geom,GEOM,NDVI,EVI,SAVI,AVI,BAI,BCC,BITM,BIXS,BNDVI,CIG,CVI,DSWI4,DVI,EVI2,ExG,ExGR,ExR,FCVI,GARI,GBNDVI,GCC,GEMI,GLI,GNDVI,GOSAVI,GRNDVI,GRVI,IKAW,IPVI,MCARI1,MCARI2,MGRVI,MRBVI,MSAVI,MSR,MTVI1,MTVI2,NDDI,NDGlaI,NDSII,NDTI,NDYI,NIRv,NLI,NormG,NormNIR,NormR,OSAVI,PISI,RCC,RDVI,RGBVI,RGRI,RI4XS,SI,SR,TDVI,TGI,TVI,TriVI,VARI,VrNIRBI,LAI,AFC,time_s
BAR_190627_1207_0001,0.020630196,0.030237282,0.003344336,0.21981844,0.680555556,2.275999374,2.45167558,1.076450209,0.999316558,5.57619847,6.006605175,0.82840247,0.377674747,0.403515317,0.350018913,31.40555609,0.06169017,0.021221709,0.025883375,0.970027833,6.269781722,4.960003409,1.465680791,0.199188244,0.392309528,0.036500032,0.039918059,-0.003418027,0.201747835,0.832879497,0.734951773,0.557761856,0.608559436,0.432213413,0.758155648,0.462330234,0.624158668,7.269781722,0.721009278,0.914201235,0.301818126,0.382706538,0.364720418,0.948787315,0.37375183,2.828139757,0.301818126,0.382706538,22.58547896,0.188864995,-0.758155648,-0.188864995,0.800823415,0.182098139,0.401592647,0.111706151,0.812079334,0.076214515,0.497412717,-0.048326195,0.380547974,0.406211808,0.859666059,0.6822768,509.1382284,0.981866503,10.65517943,0.3961118,1.94982477,1.152563434,12.33557808,0.202155952,-0.82840247,1.47,0.82,154056360.0
BAR_190627_1207_0002,0.020252645,0.03040653,0.003232669,0.22382271,0.652777778,2.180175781,2.469830453,1.077894737,0.951482317,5.123413087,5.804101567,0.834045965,0.385230219,0.410381953,0.354740457,30.12273121,0.059984383,0.021175275,0.025833377,0.971525282,6.361007981,4.902890316,1.501360933,0.203570065,0.399963487,0.037327746,0.041405838,-0.004078092,0.205858762,0.838240953,0.738686013,0.564213947,0.615771791,0.442805053,0.760794392,0.466930292,0.630874183,7.361007981,0.724707194,0.917022983,0.308980954,0.393310601,0.385387839,0.950310711,0.382093013,2.895416703,0.308980954,0.393310601,21.77209696,0.200435262,-0.760794392,-0.200435262,0.80780345,0.186678428,0.424225707,0.110777912,0.815437092,0.073784997,0.503792331,-0.050714122,0.37580167,0.412051928,0.867740805,0.666062356,479.8395661,0.981972199,11.05152981,0.404328856,1.985817635,1.155009076,12.6203593,0.21409726,-0.834045965,1.5,0.78,154056360.0
BAR_190627_1207_0003,0.022048132,0.030031875,0.003725156,0.21035433,0.598958333,2.232824402,2.363651953,0.965705139,0.912253598,4.814527614,5.096624521,0.81025905,0.358077052,0.385661316,0.338359092,34.86395598,0.066752892,0.021617203,0.026344199,0.965198384,6.004368858,5.142311266,1.362105189,0.188306198,0.372656322,0.034290462,0.035659765,-0.001369303,0.191752609,0.815520791,0.723429251,0.538155851,0.590734901,0.399483286,0.750136452,0.450371298,0.603100664,7.004368858,0.710928928,0.905129525,0.283615564,0.354746959,0.299555702,0.944492508,0.352596202,2.630621422,0.283615564,0.354746959,25.95356106,0.153297656,-0.750136452,-0.153297656,0.779295993,0.1704415,0.334868646,0.114435768,0.801550332,0.084013899,0.479880266,-0.04258656,0.395091257,0.390610805,0.8330714,0.734157691,597.6044325,0.981336689,9.540687166,0.375347661,1.857834145,1.144665475,11.6177216,0.165107385,-0.81025905,1.18,0.84,154056360.0
BAR_190627_1207_0004,0.02267913,0.030746749,0.003709756,0.22052225,0.5,1.980600586,2.298613098,0.908815242,0.783080894,3.565081055,4.137503576,0.813495055,0.372228725,0.399305879,0.349357588,31.50012112,0.064928936,0.022162038,0.027015787,0.96691145,6.172213557,5.290301217,1.355728769,0.19784312,0.387942242,0.035104612,0.036368492,-0.00126388,0.201477038,0.818253033,0.729730385,0.538136121,0.607542735,0.399449928,0.755268265,0.461438867,0.609956241,7.172213557,0.718839514,0.906747528,0.297479578,0.370655047,0.295278488,0.947880502,0.369144856,2.663941844,0.297479578,0.370655047,26.94229458,0.151005826,-0.755268265,-0.151005826,0.78467021,0.17939376,0.363921281,0.11223566,0.804978121,0.08278622,0.490680662,-0.048430478,0.396934943,0.401178763,0.836553054,0.737610666,575.5141034,0.980889545,9.723576257,0.392623785,1.904586245,1.146078119,12.19329196,0.162273695,-0.813495055,1.16,0.81,154056360.0
BAR_190627_1207_0005,0.023883339,0.028469214,0.00394293,0.19809164,0.522569444,2.30065155,2.226254463,0.817703141,0.845029187,4.328100725,4.188141205,0.78481053,0.331997418,0.361941146,0.322957647,40.22033161,0.0700399,0.021575115,0.026276511,0.960967769,5.958100073,5.837276113,1.192011469,0.174208301,0.346914696,0.029112159,0.026533032,0.002579127,0.179326479,0.789616894,0.718771263,0.505710449,0.567199141,0.343446742,0.748683733,0.438798767,0.581922405,6.958100073,0.71660376,0.892405265,0.258013918,0.317248864,0.173858006,0.946936031,0.325378163,2.392595667,0.258013918,0.317248864,42.44755664,0.087596015,-0.748683733,-0.087596015,0.756700452,0.155464405,0.243283809,0.113674882,0.790961202,0.095363916,0.456072546,-0.035375507,0.424249651,0.369757365,0.791812041,0.838918103,868.3367429,0.981177329,8.294135087,0.34822362,1.632082665,1.13349483,10.63593306,0.094730649,-0.78481053,1.19,0.82,154056360.0
BAR_190627_1207_0006,0.01878291,0.028330296,0.003203515,0.22263812,0.586805556,2.15306221,2.311985185,0.981160689,0.913716928,4.548343922,4.884068707,0.844397068,0.388648244,0.41242803,0.35445585,30.25959057,0.063667006,0.019711806,0.024035426,0.97163043,6.858658448,5.2102694,1.508301749,0.20385521,0.402012423,0.034674167,0.03858668,-0.003912513,0.20586588,0.851545081,0.751870233,0.563039392,0.615343677,0.440883435,0.774232181,0.472804762,0.650691571,7.858658448,0.708591551,0.922198534,0.308445425,0.398042469,0.38930816,0.943466632,0.384266383,3.027281643,0.308445425,0.398042469,23.06893519,0.202647767,-0.774232181,-0.202647767,0.796820308,0.187994976,0.45039551,0.105023751,0.825345785,0.069630464,0.507833907,-0.050058642,0.373293602,0.414891241,0.860517066,0.662997309,547.6729692,0.983173327,11.85322828,0.405606491,1.84176537,1.159481379,12.61320804,0.21743232,-0.844397068,1.65,0.78,154056360.0
BAR_190627_1207_0007,0.020186465,0.029682681,0.003368016,0.22318777,0.583333333,2.055149841,2.294226646,1.021823303,0.915341125,4.315814664,4.817875954,0.834111733,0.38475011,0.40962135,0.354082301,30.30261833,0.063264379,0.020815847,0.025382621,0.970267667,6.519124368,5.113572486,1.470424911,0.203001305,0.399094983,0.035810881,0.039251157,-0.003440276,0.205442049,0.840070691,0.74203173,0.55755566,0.614767866,0.431873478,0.765234088,0.46868234,0.634734423,7.519124368,0.714023332,0.917055867,0.307135976,0.391170832,0.367518819,0.945833179,0.381138153,2.896218968,0.307135976,0.391170832,23.2201002,0.190422671,-0.765234088,-0.190422671,0.796190925,0.186163538,0.423237642,0.108705106,0.817367211,0.073927683,0.503257986,-0.050239107,0.379179961,0.411492127,0.856723365,0.68007553,524.9380423,0.982194157,11.05630778,0.403322962,1.91124746,1.155037546,12.55992694,0.204214736,-0.834111733,1.38,0.83,154056360.0
BAR_190627_1207_0008,0.021870717,0.028871004,0.003664661,0.21355215,0.565972222,2.356088638,2.303551793,0.864780707,0.884503663,4.800530598,4.693486776,0.814200572,0.363779455,0.390961666,0.342105523,33.68994405,0.06735719,0.02101819,0.025611161,0.966258035,6.396769091,5.603291229,1.320075789,0.191681433,0.378505319,0.03220663,0.032645702,-0.000439072,0.195416689,0.820530267,0.73557679,0.530654731,0.596468099,0.386739204,0.761813148,0.458922764,0.616020449,7.396769091,0.71297382,0.907100286,0.286941711,0.359622145,0.270764991,0.945380695,0.358877927,2.671309538,0.286941711,0.359622145,30.08381753,0.137959195,-0.761813148,-0.137959195,0.774729608,0.173874283,0.351740943,0.109238265,0.808010224,0.08275151,0.484750501,-0.044470068,0.401988079,0.395053329,0.824559048,0.757532263,688.4596542,0.98180726,9.764295793,0.381678634,1.757390625,1.146385874,11.78089746,0.148698474,-0.814200572,1.17,0.83,154056360.0
BAR_190627_1207_0009,0.022062818,0.028699424,0.003663191,0.21595979,0.5,2.112319794,2.167731028,0.852143698,0.830361321,3.802175629,3.90191585,0.814615778,0.366989246,0.394087464,0.344681754,32.8972686,0.067306603,0.021006696,0.025597118,0.966641096,6.524882381,5.784788937,1.300805001,0.193896972,0.382014657,0.031672839,0.0316906,-1.78e-05,0.197817979,0.821067513,0.73935002,0.527316411,0.600410484,0.38102729,0.765392658,0.462760663,0.619362213,7.524882381,0.71521498,0.907307889,0.289564745,0.362443231,0.257083795,0.946344184,0.362683019,2.67566311,0.289564745,0.362443231,32.09890842,0.130739024,-0.765392658,-0.130739024,0.773615884,0.175924252,0.35771899,0.1076005,0.809681107,0.082718394,0.487150649,-0.045852053,0.405376986,0.397431167,0.821288339,0.768754732,717.5121224,0.981801279,9.788404636,0.385673784,1.73445519,1.146566953,11.89928256,0.140907425,-0.814615778,1.14,0.86,154056360.0
BAR_190627_1207_0010,0.023133205,0.029429004,0.003856031,0.21302605,0.515625,2.046309814,2.068076715,0.907120704,0.897573086,3.798462592,3.838867402,0.804088093,0.358855772,0.386926152,0.340611171,34.10004308,0.06834724,0.021726178,0.026468958,0.964441221,6.238642871,5.690067168,1.272154204,0.189892845,0.374233342,0.031868772,0.031224609,0.000644162,0.19421997,0.809959353,0.729731733,0.521622156,0.59420421,0.371226501,0.757241571,0.456192671,0.604182736,7.238642871,0.714254157,0.902044047,0.283267143,0.351293709,0.236167855,0.945932391,0.354389105,2.569142615,0.283267143,0.351293709,33.32861435,0.119778052,-0.757241571,-0.119778052,0.768302422,0.17129171,0.3247091,0.110806871,0.802091368,0.087101761,0.479334618,-0.044011579,0.410030604,0.390756415,0.813241317,0.786068227,713.4595521,0.981133841,9.208669962,0.377771808,1.754731345,1.141966765,11.64540266,0.129260789,-0.804088093,1.35,0.76,154056360.0
